t=0  22:05:43,53     01.05.2019;;;;;;;;
time;Ug;CosPhi;Ie;Qg;Pg;Uf;Fg Hz;Alpha gr
0,000;0,964;0,972;0,357;0,076;0,206;0,356;50,000;86,700
0,010;0,964;0,972;0,356;0,075;0,206;0,355;50,000;86,700
0,020;0,964;0,972;0,355;0,076;0,206;0,353;50,000;85,000
0,030;0,964;0,972;0,357;0,076;0,206;0,356;50,000;84,700
0,040;0,964;0,972;0,360;0,075;0,206;0,360;50,000;84,800
0,050;0,964;0,972;0,363;0,074;0,206;0,362;49,990;86,800
0,060;0,964;0,967;0,363;0,075;0,206;0,362;50,000;87,100
0,070;0,964;0,967;0,360;0,075;0,206;0,360;50,000;88,600
0,080;0,964;0,972;0,356;0,075;0,206;0,357;50,000;87,400
0,090;0,964;0,972;0,353;0,076;0,206;0,353;50,000;87,900
0,100;0,964;0,972;0,351;0,077;0,206;0,351;50,000;86,600
0,110;0,964;0,967;0,351;0,076;0,206;0,350;50,000;87,100
0,120;0,964;0,972;0,351;0,076;0,207;0,348;50,000;85,900
0,130;0,964;0,967;0,352;0,076;0,206;0,348;50,000;85,700
0,140;0,964;0,968;0,354;0,076;0,205;0,348;50,000;85,700
0,150;0,964;0,968;0,355;0,077;0,205;0,350;50,000;85,200
0,160;0,964;0,972;0,357;0,076;0,206;0,352;50,000;84,800
0,170;0,964;0,972;0,359;0,077;0,206;0,356;50,000;85,000
0,180;0,964;0,972;0,362;0,077;0,206;0,358;50,000;85,300
0,190;0,964;0,972;0,363;0,076;0,206;0,361;50,000;85,600
0,200;0,964;0,968;0,363;0,075;0,205;0,363;50,000;85,900
0,210;0,964;0,968;0,363;0,075;0,205;0,363;50,000;87,400
0,220;0,964;0,972;0,361;0,074;0,206;0,362;50,000;87,100
0,230;0,964;0,972;0,359;0,073;0,206;0,361;50,000;88,200
0,240;0,964;0,968;0,356;0,073;0,205;0,357;50,000;87,500
0,250;0,964;0,973;0,354;0,073;0,205;0,355;50,000;88,000
0,260;0,964;0,973;0,352;0,073;0,205;0,351;50,000;86,800
0,270;0,964;0,973;0,351;0,073;0,205;0,350;50,000;87,200
0,280;0,964;0,968;0,351;0,073;0,205;0,348;50,000;85,800
