t=0  6:46:44,50     26.01.2018;;;;;;;;
time;Ug;Ig;MaxSetUgV/Hz;Qg;If;Uf;Fg Hz;Alpha gr
0,000;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,010;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,020;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,030;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,040;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,050;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,060;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,070;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,080;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,090;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,100;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
0,110;1,101;0,000;1,100;0,000;0,375;0,308;50,000;85,500
0,120;1,100;0,000;1,100;0,000;0,375;0,307;50,000;87,100
0,130;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,400
0,140;1,099;0,000;1,100;0,000;0,375;0,306;50,000;85,400
0,150;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,400
0,160;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,400
0,170;1,100;0,000;1,100;0,000;0,375;0,306;50,000;85,400
0,180;1,099;0,000;1,100;0,000;0,374;0,307;50,000;85,400
0,190;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,500
0,200;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
0,210;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,220;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,230;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
0,240;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
0,250;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,260;1,099;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,270;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,280;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
0,290;1,101;0,000;1,100;0,000;0,375;0,312;50,000;85,800
0,300;1,099;0,000;1,100;0,000;0,375;0,313;50,000;85,900
0,310;1,100;0,000;1,100;0,000;0,375;0,313;50,000;86,000
0,320;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
0,330;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,340;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,350;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,360;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,370;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,380;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
0,390;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,400;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
0,410;1,101;0,000;1,100;0,000;0,375;0,312;50,000;85,800
0,420;1,099;0,000;1,100;0,000;0,375;0,313;50,000;86,000
0,430;1,101;0,000;1,100;0,000;0,375;0,313;50,000;86,000
0,440;1,100;0,000;1,100;0,000;0,375;0,313;50,000;86,000
0,450;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
0,460;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,470;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,480;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,490;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
0,500;1,100;0,000;1,100;0,000;0,375;0,310;50,000;87,400
0,510;1,101;0,000;1,100;0,000;0,375;0,307;50,000;85,600
0,520;1,100;0,000;1,100;0,000;0,375;0,307;50,000;87,100
0,530;1,100;0,000;1,100;0,000;0,375;0,305;50,000;85,400
0,540;1,100;0,000;1,100;0,000;0,375;0,305;50,000;85,400
0,550;1,101;0,000;1,100;0,000;0,375;0,305;50,000;85,400
0,560;1,099;0,000;1,100;0,000;0,375;0,305;50,000;85,400
